licious_id,licious_name,licious_price,licious_weight,lisious_net
pr_5785b9065d7e1,Chicken - Curry Cut (Small),139,526gm,500gm
pr_57234c427648b,Chicken (Skinless) - Curry Cut (Large),129,526gm,500gm
pr_57234a4f6f77b,Chicken Breast (Boneless),219,625gm,500gm
pr_57234d5b5ee73,Chicken Mince/Keema,199,625gm,500gm
pr_57234ca0ef2b9,Chicken Drumstick (Skinless),159,600gm,500gm
pr_ejejbf09h51,Chicken Lollipop - 8 Pieces,89,8,8
pr_5785b8848e486,Chicken Leg (Whole) with Thigh,179,675gm,550gm
pr_58626f2fd9841,"Chicken Thigh (Skinless, Boneless)",239,550gm,500gm
pr_59a6c5c60df4b,Chicken (with Skin) - Curry Cut (Small),129,526gm,500gm
pr_57234d93d0b04,Chicken Thigh (Skinless) ,179,675gm,550gm
pr_574f256be6c0a,Chicken Supreme,299,625gm,500gm
pr_57ac8c42ee432,Country Chicken (Nati Koli) - Curry Cut ,279,575gm,550gm
pr_kxrjdg2bvw1,Chicken Boneless (Tikka Cut),249,765gm,500gm
pr_5723564821da3,Whole Chicken (with Skin),249,1 unit,1.2kg
pr_ejejbf07a94,Chicken Wings (with Skin) - 4 Pieces,99,4,4
pr_579a5010c8dd6,Premium Goat Curry Cut,399,625gm,500gm
pr_bpsjcm3f068,Classic Goat Curry Cut,349,561gm,500gm
pr_57235721c9f9a,Premium Lamb Curry Cut,399,625gm,500gm
pr_579a530679ede,Goat Mince/Keema,469,625gm,500gm
pr_572356a793df6,Lamb Leg (Boneless),449,758gm,500gm
pr_579a52ccd74d7,Goat Boneless,469,758gm,500gm
pr_572357479b1a7,Lamb Mince,449,625gm,500gm
pr_bpsjcm3hic5,Classic Lamb Curry Cut ,349,625gm,500gm
pr_5723576fa2131,Lamb Chops (Ribs),399,625gm,500gm
pr_5760cfc0caaff,Lamb Shoulder - Curry Cut (Medium),399,625gm,500gm
pr_57635c7607b2c,Lamb Leg Steaks (Medium),449,758gm,500gm
pr_57635f9b531d9,Lamb Shanks,399,625gm,500gm
pr_57ac94cc283c3,Free Range Lamb - Curry Cut (Medium),395,625gm,500gm
pr_58d3ae77dcce0,Mutton Soup Bones,150,500gms,500gms
pr_bpsjbszdqb0,Lamb Liver - 15 Pieces,99,15,15
pr_579203c67b2ef,Atlantic Salmon Steaks,699,2 ,350gm
pr_572357e706fe8,Freshwater Rohu - Bengali Cut ,159,694gm,500gm
pr_5723578f7eefa,Prawns Medium (Tail on),599,926gm,500gm
pr_5746a6e241199,Basa Fillet (Platinum Grade) ,299,1515gm,500gm
pr_5966019281db2,Tengra (Whole - Cleaned & Gutted),329,649gm,500gm
pr_57235831e3960,Premium Grade Mackerel/Bangda/Ayala (Cleaned),229,754gm,550gm
pr_5723587687e50,Freshwater Catla - Bengali Cut,169,694gm,500gm
pr_599442b083325,Freshwater Scampi/Giant Prawns (Whole),329,521gm,500gm
pr_5723580b90fd9,Seer (Surmai) Steaks,799,649gm,500gm
pr_bpsjc9gio2l,Atlantic Salmon Fillet,1299,640gm,500gm
pr_596601367dd0d,Sardine/Khoira (Whole - Cleaned & Gutted),149,714gm,500gm
pr_57f539b03c668,Hilsa / Ilish (Large) - Bengali Cut,1499,1 unit,700gm
pr_bpsjc9gs24e,Cod Fillet (Pulli Kalava),899,1428gm,500gm
pr_572db2eb17e6e,Sea Bass/ Bhetki Fillet ,999,741gm,500gm
pr_572357b8253cc,Prawns Small (Whole),299,35 - 40,500gm
pr_5965f6d760e61,Mahi Mahi Cubes ,749,1786gm,500gm
pr_573bfa335351a,Tilapia - Bengali Cut,139,735gm,500gm
pr_57235852e4987,Blue Crab,679,710gm,500gm
pr_57f5387faa692,Tiger Prawns,649,5 - 8,500gm
pr_5994436622944,Tuna Yellowfin Cubes,459,1250gm,500gm
pr_57bb1cba0c291,White Pomfret (Whole and Cleaned),799,750gms,500gms
pr_5965d990c954c,Anchovy/Nethili/Kati Small (Whole - Cleaned & Gutted),149,385gm,250gm
pr_5965fd9c8127a,Roopchand - Bengali Cut (without Head),149,658gm,500gm
pr_596602138471e,Trevally Large Steaks,449,658gm,500gm
pr_59a6ce924a897,Halibut Sole/Potha Fillet,799,1250gm,500gm
pr_575277f83b807,Red Snapper Steaks,519,926gm,500gm
pr_5965fb70357fb,Pabda/Butterfish (Whole - Cleaned & Gutted),399,667gm,500gm
pr_599443aa41526,Seer (Surmai) Small Steaks,649,704gm,500gm
pr_572358952cf2c,Black Pomfret Steaks,659,704gm,500gm
pr_5734780f3580a,King Fish Steaks,549,877gm,500gm
pr_573fb59c4a752,Lady Fish/Kane/Poozhan (Whole - Cleaned & Gutted),399,588gm,500gm
pr_5746a7a8198ef,Indian Salmon/Rawas/Gurjali Steaks ,659,781gm,500gm
pr_57f53ae3a2352,Lobster (Whole),1299,2,600-800gm
pr_5965e03525302,Barracuda Steaks,399,769gm,500gm
pr_5965fd0a4064c,Pearl Spot/Karimeen - Kerala Cut,649,685gm,500gm
pr_596600eea7a3d,Roopchand Steaks,149,714gm,500gm
pr_5994417892dad,Freshwater Catla Large - Bengali Cut (with Head),229,704gm,500gm
pr_59944228c7812,Freshwater Rohu Large - Bengali Cut (with Head),199,694gm,500gm
pr_599443fc5106f,Seer (Surmai) Small - Curry Cut (with Head),499,602gm,500gm
pr_599444450e1ae,Squid Rings (Cleaned),339,410gm,250gm
pr_59a6c8bfc844b,Pink Perch/Kilimeen (Whole - Cleaned & Gutted),349,694gm,500gm
pr_59a6cb4a4f652,Pink Perch/Kilimeen - Curry Cut (with Head),349,694gm,500gm
pr_bpsjc9gkreh,Murrel Steaks (Kuchumeen/Korameenu),449,666gm,500gm
pr_bpsjc9gvyg1,Aar Bengali Cut,499,746gm,500gm
